x1,x2,x3,y1,y2,y3,y4,y5,y6,y7,y8,y9
0.363557425,1.444275542,3.5,0.123360949,1.684472019,0.10933422,0.89066578,1.75e-20,0.142558763,3.58e-05,0.857405482,0.431763319
0.417134308,1.4114511,4.2,0.11574373,1.712841675,0.000368233,0.999631767,1.9e-20,0.169868205,0.006091186,0.824040609,0.486123667
0.405653547,1.542748875,2.9,0.115734328,1.832668094,0.000224862,0.999775138,1.43e-20,0.154400442,0.003794716,0.841804842,0.33562955
0.401826628,1.395038878,3.4,0.115746026,1.681119478,0.00040323,0.99959677,1.86e-20,0.166718901,0.003453776,0.829827323,0.393536486
0.409480467,1.559161097,3.7,0.115732586,1.852908978,0.000198305,0.999801695,1.58e-20,0.154156284,0.004377073,0.841466643,0.428210567
0.371211264,1.312977767,2.9,0.120454029,1.563735,0.06937623,0.93062377,1.68e-20,0.160261567,9.63e-05,0.839642117,0.349316686
0.382692025,1.329389989,3.7,0.115992014,1.59609,0.00414563,0.99585437,1.91e-20,0.16696526,0.000130588,0.832904152,0.429170453
0.371211264,1.395038878,3.5,0.120379355,1.645870786,0.068324341,0.931675659,1.75e-20,0.152343933,5.68e-05,0.84759927,0.421327742
0.417134308,1.509924431,3.3,0.115736156,1.811322583,0.00025275,0.99974725,1.86e-20,0.160639917,0.005756811,0.833603272,0.381929317
0.375038186,1.329389989,3.4,0.118925237,1.585502936,0.047577911,0.952422089,1.78e-20,0.161447054,8.71e-05,0.8384658,0.404345806
0.363557425,1.378626656,2.5,0.123424421,1.618759658,0.1101857,0.8898143,1.64e-20,0.148276622,6.72e-05,0.851656173,0.308561053
0.397999706,1.444275542,4.3,0.115739689,1.726535561,0.000306611,0.999693389,1.93e-20,0.160793591,0.002689875,0.836516534,0.497680661
0.413307386,1.477099986,3.8,0.115737786,1.774669589,0.000277594,0.999722406,1.88e-20,0.16245171,0.005224349,0.832323942,0.439803586
0.417134308,1.460687764,2.9,0.115741024,1.762081047,0.000326981,0.999673019,1.88e-20,0.165124139,0.0059198,0.828956061,0.335648972
0.378865106,1.559161097,4.3,0.117317051,1.820709153,0.024034423,0.975965577,1.54e-20,0.143616057,3.57e-05,0.856348251,0.504463317
0.382692025,1.526336653,2.7,0.115941007,1.793087672,0.003370932,0.996629068,1.46e-20,0.148671823,9.45e-05,0.8512337,0.313040719
0.375038186,1.329389989,4.2,0.118890553,1.585537619,0.047076876,0.952923125,1.78e-20,0.161482133,7.04e-05,0.838447459,0.499340325
0.420961228,1.4114511,3.4,0.115745081,1.716667247,0.000388823,0.999611177,1.67e-20,0.171043446,0.006752308,0.822204246,0.393533275
0.386518944,1.477099986,3.6,0.115739334,1.747879597,0.000301208,0.999698792,1.92e-20,0.154248213,0.000670702,0.845081085,0.416661603
0.405653547,1.509924431,2.8,0.115736704,1.799841275,0.000261098,0.999738902,1.9e-20,0.15721418,0.003864937,0.838920883,0.324062769
0.378865106,1.345802211,3.1,0.117461061,1.607206256,0.026168985,0.973831015,1.76e-20,0.162536003,0.000108986,0.837355011,0.364129289
0.409480467,1.329389989,4.2,0.115754831,1.623115625,0.000537474,0.999462526,1.9e-20,0.175956841,0.005007245,0.819035914,0.486170292
0.405653547,1.362214433,4.2,0.115749314,1.652118664,0.000453369,0.999546631,1.88e-20,0.171257863,0.004216357,0.824525781,0.486147119
0.367384344,1.329389989,3.6,0.121893454,1.574880878,0.089400502,0.910599498,1.75e-20,0.155818901,6.01e-05,0.844120978,0.438816433
0.413307386,1.542748875,4.3,0.115733319,1.840322944,0.000209487,0.999790513,1.99e-20,0.156660544,0.005036114,0.838303343,0.497653272
0.378865106,1.362214433,3.5,0.117418147,1.623661392,0.02553345,0.97446655,1.82e-20,0.16093542,8.77e-05,0.83897692,0.410963514
0.382692025,1.526336653,4.2,0.115857123,1.793171556,0.002095405,0.997904595,1.54e-20,0.148747438,5.87e-05,0.85119388,0.486599917
0.371211264,1.526336653,2.9,0.120368831,1.777179086,0.06817599,0.931824011,1.43e-20,0.141098332,4.81e-05,0.858853598,0.349069608
0.363557425,1.395038878,3.7,0.123367078,1.635229222,0.109416486,0.890583514,1.65e-20,0.146845118,3.97e-05,0.853115183,0.456458189
0.367384344,1.493512208,4.0,0.121839226,1.739057328,0.088654703,0.911345297,1.44e-20,0.14116379,3.06e-05,0.858805622,0.487356906
0.394172786,1.444275542,3.9,0.115739962,1.722708367,0.000310776,0.999689224,1.89e-20,0.159600807,0.002024242,0.838374951,0.45138585
0.417134308,1.345802211,3.1,0.115755652,1.647180867,0.000549979,0.999450021,1.85e-20,0.176626808,0.006339533,0.817033659,0.358842519
0.394172786,1.378626656,3.1,0.115749308,1.657050133,0.000453275,0.999546725,1.85e-20,0.165914805,0.002108765,0.831976431,0.358822856
0.371211264,1.559161097,2.5,0.12038394,1.809988422,0.068388969,0.931611031,1.42e-20,0.138525933,5.36e-05,0.861420481,0.30095985
0.386518944,1.542748875,4.0,0.115734079,1.813533742,0.000221072,0.999778928,1.87e-20,0.148669184,0.000644204,0.850686612,0.462936314
0.382692025,1.427863322,2.7,0.116004614,1.694550733,0.004336892,0.995663108,1.4e-20,0.157250732,0.000128688,0.84262058,0.313212456
0.417134308,1.444275542,3.4,0.115741339,1.745668511,0.000331777,0.999668223,1.88e-20,0.166676296,0.005975595,0.82734811,0.393520553
0.413307386,1.526336653,3.2,0.115735078,1.823908964,0.000236301,0.999763699,1.89e-20,0.158068684,0.005082173,0.836849143,0.370352247
0.420961228,1.312977767,4.2,0.115758887,1.618180108,0.000599298,0.999400702,1.88e-20,0.181438587,0.007169801,0.811391612,0.486187325
0.390345867,1.395038878,3.8,0.115745884,1.669638858,0.000401074,0.999598926,1.91e-20,0.163068478,0.001398215,0.835533307,0.439834358
0.397999706,1.395038878,3.2,0.115746518,1.677292064,0.000410739,0.999589261,1.89e-20,0.165507131,0.002771962,0.831720906,0.370388858
0.397999706,1.312977767,2.9,0.115762789,1.595214683,0.000658764,0.999341236,1.78e-20,0.174004842,0.002922389,0.823072768,0.335712086
0.367384344,1.526336653,3.4,0.121847281,1.771873717,0.088765521,0.911234479,1.44e-20,0.138541311,3.35e-05,0.86142519,0.414280756
0.397999706,1.378626656,2.7,0.115751257,1.660875106,0.000482981,0.999517019,1.81e-20,0.167138055,0.002801545,0.830060401,0.312528392
0.371211264,1.559161097,3.8,0.120329981,1.810042381,0.067628134,0.932371866,1.49e-20,0.138574422,3.08e-05,0.861394802,0.457253928
0.386518944,1.509924431,3.6,0.115736619,1.780706758,0.000259808,0.999740192,1.83e-20,0.151407353,0.000657171,0.847935475,0.416651828
